feature,backward,lasso_min,lasso_1se,elastic_net_min,elastic_net_1se,selected_count
entropy_Density,TRUE,TRUE,TRUE,TRUE,TRUE,5
entropy_ThermalConductivity,TRUE,TRUE,TRUE,TRUE,TRUE,5
entropy_Valence,TRUE,TRUE,TRUE,TRUE,TRUE,5
entropy_atomic_mass,TRUE,TRUE,TRUE,TRUE,TRUE,5
gmean_Density,TRUE,TRUE,TRUE,TRUE,TRUE,5
gmean_ThermalConductivity,TRUE,TRUE,TRUE,TRUE,TRUE,5
gmean_Valence,TRUE,TRUE,TRUE,TRUE,TRUE,5
gmean_atomic_radius,TRUE,TRUE,TRUE,TRUE,TRUE,5
mean_Density,TRUE,TRUE,TRUE,TRUE,TRUE,5
mean_FusionHeat,TRUE,TRUE,TRUE,TRUE,TRUE,5
mean_atomic_mass,TRUE,TRUE,TRUE,TRUE,TRUE,5
mean_atomic_radius,TRUE,TRUE,TRUE,TRUE,TRUE,5
mean_fie,TRUE,TRUE,TRUE,TRUE,TRUE,5
number_of_elements,TRUE,TRUE,TRUE,TRUE,TRUE,5
range_ElectronAffinity,TRUE,TRUE,TRUE,TRUE,TRUE,5
range_atomic_mass,TRUE,TRUE,TRUE,TRUE,TRUE,5
range_atomic_radius,TRUE,TRUE,TRUE,TRUE,TRUE,5
range_fie,TRUE,TRUE,TRUE,TRUE,TRUE,5
std_Density,TRUE,TRUE,TRUE,TRUE,TRUE,5
std_ElectronAffinity,TRUE,TRUE,TRUE,TRUE,TRUE,5
std_Valence,TRUE,TRUE,TRUE,TRUE,TRUE,5
std_atomic_radius,TRUE,TRUE,TRUE,TRUE,TRUE,5
std_fie,TRUE,TRUE,TRUE,TRUE,TRUE,5
wtd_entropy_Density,TRUE,TRUE,TRUE,TRUE,TRUE,5
wtd_entropy_FusionHeat,TRUE,TRUE,TRUE,TRUE,TRUE,5
wtd_entropy_ThermalConductivity,TRUE,TRUE,TRUE,TRUE,TRUE,5
wtd_entropy_Valence,TRUE,TRUE,TRUE,TRUE,TRUE,5
wtd_entropy_atomic_mass,TRUE,TRUE,TRUE,TRUE,TRUE,5
wtd_entropy_atomic_radius,TRUE,TRUE,TRUE,TRUE,TRUE,5
wtd_entropy_fie,TRUE,TRUE,TRUE,TRUE,TRUE,5
wtd_gmean_ElectronAffinity,TRUE,TRUE,TRUE,TRUE,TRUE,5
wtd_gmean_ThermalConductivity,TRUE,TRUE,TRUE,TRUE,TRUE,5
wtd_gmean_Valence,TRUE,TRUE,TRUE,TRUE,TRUE,5
wtd_gmean_atomic_mass,TRUE,TRUE,TRUE,TRUE,TRUE,5
wtd_gmean_fie,TRUE,TRUE,TRUE,TRUE,TRUE,5
wtd_mean_ElectronAffinity,TRUE,TRUE,TRUE,TRUE,TRUE,5
wtd_mean_FusionHeat,TRUE,TRUE,TRUE,TRUE,TRUE,5
wtd_mean_atomic_mass,TRUE,TRUE,TRUE,TRUE,TRUE,5
wtd_mean_atomic_radius,TRUE,TRUE,TRUE,TRUE,TRUE,5
wtd_range_Density,TRUE,TRUE,TRUE,TRUE,TRUE,5
wtd_range_ThermalConductivity,TRUE,TRUE,TRUE,TRUE,TRUE,5
wtd_range_Valence,TRUE,TRUE,TRUE,TRUE,TRUE,5
wtd_range_fie,TRUE,TRUE,TRUE,TRUE,TRUE,5
wtd_std_Density,TRUE,TRUE,TRUE,TRUE,TRUE,5
wtd_std_ElectronAffinity,TRUE,TRUE,TRUE,TRUE,TRUE,5
wtd_std_ThermalConductivity,TRUE,TRUE,TRUE,TRUE,TRUE,5
wtd_std_Valence,TRUE,TRUE,TRUE,TRUE,TRUE,5
wtd_std_atomic_mass,TRUE,TRUE,TRUE,TRUE,TRUE,5
wtd_std_atomic_radius,TRUE,TRUE,TRUE,TRUE,TRUE,5
wtd_std_fie,TRUE,TRUE,TRUE,TRUE,TRUE,5
entropy_FusionHeat,FALSE,TRUE,TRUE,TRUE,TRUE,4
entropy_fie,TRUE,TRUE,TRUE,TRUE,FALSE,4
gmean_FusionHeat,TRUE,TRUE,FALSE,TRUE,TRUE,4
gmean_fie,TRUE,TRUE,FALSE,TRUE,TRUE,4
mean_ThermalConductivity,TRUE,TRUE,FALSE,TRUE,TRUE,4
range_Density,FALSE,TRUE,TRUE,TRUE,TRUE,4
range_FusionHeat,FALSE,TRUE,TRUE,TRUE,TRUE,4
range_ThermalConductivity,TRUE,FALSE,TRUE,TRUE,TRUE,4
range_Valence,FALSE,TRUE,TRUE,TRUE,TRUE,4
std_atomic_mass,FALSE,TRUE,TRUE,TRUE,TRUE,4
wtd_entropy_ElectronAffinity,FALSE,TRUE,TRUE,TRUE,TRUE,4
wtd_gmean_Density,TRUE,TRUE,FALSE,TRUE,TRUE,4
wtd_mean_Density,FALSE,TRUE,TRUE,TRUE,TRUE,4
wtd_mean_ThermalConductivity,FALSE,TRUE,TRUE,TRUE,TRUE,4
wtd_range_atomic_mass,FALSE,TRUE,TRUE,TRUE,TRUE,4
wtd_range_atomic_radius,FALSE,TRUE,TRUE,TRUE,TRUE,4
gmean_atomic_mass,TRUE,TRUE,FALSE,TRUE,FALSE,3
mean_ElectronAffinity,TRUE,TRUE,FALSE,TRUE,FALSE,3
std_ThermalConductivity,TRUE,TRUE,FALSE,TRUE,FALSE,3
wtd_range_ElectronAffinity,TRUE,TRUE,FALSE,TRUE,FALSE,3
wtd_range_FusionHeat,TRUE,TRUE,FALSE,TRUE,FALSE,3
entropy_ElectronAffinity,FALSE,TRUE,FALSE,TRUE,FALSE,2
gmean_ElectronAffinity,FALSE,FALSE,TRUE,FALSE,TRUE,2
wtd_gmean_FusionHeat,FALSE,TRUE,FALSE,TRUE,FALSE,2
wtd_gmean_atomic_radius,FALSE,TRUE,FALSE,TRUE,FALSE,2
wtd_mean_Valence,TRUE,FALSE,FALSE,FALSE,TRUE,2
wtd_mean_fie,TRUE,FALSE,FALSE,TRUE,FALSE,2
